term,term_introduced_by,valid_terminology,hanyu_pinyin,translation_type,english_equivalent,sanskrit_equivalent,old_chinese,later_han,middle_chinese,notes,document_frequency,error,validation
念頃,Buddhabhadra,True,niàn qǐng,Semantic,a moment's thought; an instant; a thought-moment,kṣaṇa,,,,"Refers to an extremely brief period of time, often equated with a kṣaṇa (क्षण), which is the shortest conceivable unit of time in Buddhist cosmology, literally 'a moment'.",2,,
戒藏,Buddhabhadra,True,jiè zàng,Semantic,Vinaya Piṭaka; Basket of Discipline,Vinayapiṭaka,?,?,?,Refers to the section of the Buddhist canon that contains the rules of monastic discipline.,2,,
辯藏,Buddhabhadra,True,biànzàng,Semantic,Treasury of Debates,vādapiṭaka,?,?,?,"This term refers to a collection or 'basket' of arguments, debates, and analytical treatises. It often relates to the Abhidharma-piṭaka (論藏, Lùnzàng), the 'Basket of Treatises,' which is characterized by detailed analysis and systematic exposition of Buddhist doctrines, often in the form of philosophical debates and discussions. '辯藏' emphasizes the argumentative and analytical aspect of such collections.",3,,
平等施,Buddhabhadra,True,Píngděng shī,Semantic,Impartial giving; equal giving,samatādāna,,,,"Refers to the practice of giving alms or making offerings without discrimination, treating all recipients equally. It is a key aspect of a bodhisattva's practice of dāna (giving).",3,,
壞劫,Buddhabhadra,True,huàijié,Semantic,kalpa of destruction; eon of destruction; destruction kalpa,saṃvartakalpa,?,?,?,"One of the four kalpas (or eons) that comprise a great kalpa, along with the kalpa of formation (成劫), kalpa of abiding (住劫), and kalpa of emptiness (空劫). This period describes the destruction of a world system.",2,,
譬諭,Buddhabhadra,True,pì yù,Semantic,simile; metaphor; parable; analogy,upamā; dṛṣṭānta,,,,"A common literary device and teaching method used in Buddhist sutras, such as the Lotus Sutra, which is famous for its extensive use of parables and similes.",2,,
清淨解脫,Buddhabhadra,True,qīngjìng jiětuō,Semantic,pure liberation; purified emancipation,viśuddha-vimokṣa,,,,"清淨 (qīngjìng) means 'pure, clean, undefiled', often translating Sanskrit *śuddha* or *viśuddha*. 解脫 (jiětuō) means 'liberation, emancipation, release', translating Sanskrit *mokṣa* or *vimokṣa*. Together, '清淨解脫' signifies a state of complete and pure liberation from all defilements and suffering, a fundamental goal in Buddhism.",3,,
平等正智,Buddhabhadra,True,píngděng zhèngzhì,Semantic,Wisdom of equality; wisdom of impartiality; wisdom of universal sameness; wisdom of equanimity,samatājñāna,?,?,?,"平等正智 (samatājñāna) is one of the Five Wisdoms (Pañcajñānāni, 五智), specifically the Wisdom of Universal Sameness. It is the wisdom that perceives the fundamental equality and non-discrimination of all phenomena, transforming the defiled consciousness of thought (manovijñāna) into wisdom.",2,,
如來日,Buddhabhadra,False,rú lái rì,Generic phrase,Tathāgata day; day of the Tathāgata,,,,,"This is a descriptive phrase meaning 'Tathāgata day' or 'day of the Tathāgata' and is not a recognized technical term in Buddhist terminology. '如來' (rúlái) is a semantic translation of Tathāgata, and '日' (rì) means day.",2,,
深妙智,Buddhabhadra,True,shēn miào zhì,Semantic,Profound and subtle wisdom,gambhīra-sūkṣma-jñāna,,,,"Refers to a highly developed, deep, and subtle wisdom, often attributed to Buddhas and advanced bodhisattvas, embodying the ultimate understanding of reality.",2,,
來,Buddhabhadra,False,lái,Partial term,"to come, to arrive, next",ā-√gam (to come),?,?,?,"來 is a fundamental verb meaning 'to come'. While it is a component of many significant Buddhist terms (e.g., 如來 rúlái, Tathāgata), it is not classified as a standalone Buddhist technical term. Its pronunciations in Old Chinese, Later Han, and Middle Chinese are therefore not provided as per the prompt's rule for non-transliteration types.",2,,
發無上菩提之心,Buddhabhadra,True,fā wú shàng pú tí zhī xīn,Mixed,To arouse/generate the mind of unsurpassed bodhi/enlightenment; to give rise to the thought of unsurpassed awakening.,anuttara-bodhicittotpāda,,,,"This phrase combines semantic translation ('發' to generate, '無上' unsurpassed, '心' mind) with a transliteration ('菩提' for *bodhi*). It refers to the aspiration to attain the highest form of enlightenment, which is a fundamental practice in Mahayana Buddhism.",2,,
大方廣,Buddhabhadra,True,Dàfāngguǎng,Semantic,"great, vast, and extensive; Mahāvaipulya",Mahāvaipulya,,,,"A key term in Mahayana Buddhism, often appearing in the titles of important sutras, such as the 'Dàfāngguǎng Fó Huáyán Jīng' (Avataṃsaka Sūtra). It refers to the 'great, vast, and extensive' nature of the Dharma, emphasizing its profundity, universality, and all-encompassing scope. '大' (great) translates 'mahā', while '方廣' (vast and extensive) translates 'vaipulya'.",4,,
稽首禮敬,Buddhabhadra,True,qǐshǒu lǐjìng,Semantic,to prostrate oneself and show reverence; to bow down and pay homage,praṇāma,?,?,?,"This phrase describes the act of prostrating oneself (touching the head to the ground) and showing profound reverence, a common gesture of respect in Buddhist practice. 稽首 (qǐshǒu) specifically means 'to bow down until one's head touches the ground', while 禮敬 (lǐjìng) means 'to pay respect or reverence'.",2,,
菩薩大願,Buddhabhadra,True,Púsà dàyuàn,Mixed,Bodhisattva's Great Vows,bodhisattvamahāpraṇidhāna,,,,"The term '菩薩' (púsà) is a transliteration of the Sanskrit 'bodhisattva', while '大願' (dàyuàn) is a semantic translation of 'mahāpraṇidhāna' (great vow). This combination makes it a 'Mixed' translation type.",3,,
無縛無著,Buddhabhadra,True,wú fù wú zhuó,Semantic,"no bondage, no attachment; unbound and unattached",abandhana-asaṅga,,,,"This phrase describes a state of complete liberation, freedom from all ties and attachments that bind one to saṃsāra (the cycle of rebirth). It is a characteristic of awakened beings, such as Arhats and Buddhas.",2,,
盧舍那如來,Buddhabhadra,True,Lúshènà Rúlái,Mixed,Vairocana Buddha; Vairocana Tathāgata,Vairocana Tathāgata,?,?,?,"盧舍那 (Lúshènà) is a transliteration of the Sanskrit 'Vairocana', meaning 'the Illuminator' or 'the Resplendent One'. 如來 (Rúlái) is a semantic translation of 'Tathāgata', one of the ten epithets of a Buddha, often translated as 'Thus Come One' or 'Thus Gone One'. Together, 盧舍那如來 refers to Vairocana Buddha, who is central to Mahayana Buddhism, particularly in the Huayan (Flower Garland) school and Esoteric Buddhism, representing the Dharma-kāya (truth body) of all Buddhas.",3,,
愚癡闇冥,Buddhabhadra,True,yúchī ànmíng,Semantic,profound ignorance and delusion; darkness of ignorance and delusion,avidyā-andhakāra,?,?,?,"This Buddhist term combines '愚癡' (yúchī), meaning ignorance or delusion (Sanskrit: avidyā, moha), with '闇冥' (ànmíng), meaning profound darkness or obscurity. Together, it emphasizes the extreme depth and blinding nature of spiritual ignorance and delusion, describing a state of being completely lost in the darkness of misunderstanding.",5,,
教化成熟,Buddhabhadra,True,jiàohuà chéngshú,Semantic,maturation through teaching; spiritual ripening through instruction; to bring to spiritual maturity through teaching,vinaya-paripācana,,,,"This term refers to the process by which sentient beings are guided and instructed (教化, jiàohuà) in the Dharma, leading them to a state of spiritual readiness or maturity (成熟, chéngshú) necessary for understanding and attaining liberation. It signifies the successful cultivation and ripening of beings' spiritual faculties.",4,,
大乘智,Buddhabhadra,True,dàchéngzhì,Semantic,Mahāyāna wisdom; Mahāyāna knowledge,mahāyānajñāna,,,,"Refers to the wisdom or knowledge attained through the practice and realization of the Mahāyāna path, which is characterized by great compassion and the pursuit of complete Buddhahood for the benefit of all sentient beings.",3,,
無上施,Buddhabhadra,True,Wúshàng shī,Semantic,Supreme giving; unsurpassed generosity; highest almsgiving,anuttara-dāna,?,?,?,"This term refers to the highest form of generosity or giving in Buddhism. It signifies a selfless and pure act of offering without any expectation of reward, performed with wisdom and compassion, often considered one of the perfections (pāramitā).",2,,
普門法界,Buddhabhadra,True,Pǔmén Fǎjiè,Semantic,Universal Gate Dharma-realm; Dharma-realm of Universal Gate,Samantamukha Dharmadhātu,,,,"This term combines 'Universal Gate' (普門, Pǔmén), famously associated with Avalokiteśvara (Guanyin) in the Lotus Sūtra's Universal Gate Chapter (普門品, Pǔmén Pǐn), with 'Dharma-realm' (法界, Fǎjiè), a fundamental Buddhist concept referring to the totality of all phenomena or the ultimate nature of reality.",2,,
菩提門,Buddhabhadra,True,pútímén,Mixed,Gate of Bodhi; Path to enlightenment,bodhidvāra,,,,"A Buddhist term referring to the path, method, or entry point leading to spiritual awakening or enlightenment (bodhi). It signifies the means by which one can attain bodhi.",2,,
普賢菩薩行,Buddhabhadra,True,Pǔxián Púsàxíng,Semantic,Practices of Samantabhadra Bodhisattva,Samantabhadrabodhisattvacaryā,,,,"This term refers to the ten great vows or practices (daśapraṇidhānāni) of Samantabhadra Bodhisattva, which are fundamental teachings in Mahayana Buddhism, particularly emphasized in the Gandavyuha Sutra, the final chapter of the Avatamsaka Sutra (Flower Garland Sutra).",6,,
福伽羅,Buddhabhadra,True,fú jiā luó,Transliteration,"pudgala (person, individual)",pudgala,/*puk kˤra rˤa/,pɨok gya la,/*pɨwk gɨa la/,"The term pudgala refers to the 'person' or 'individual' and is a central concept in the Pudgalavāda school of early Buddhism. This school posited the existence of a 'person' (pudgala) that persists through rebirth, distinct from the five skandhas, but not an eternal, unchanging self (ātman). This view was controversial and opposed by other Buddhist schools.",9,,
普施無畏,Buddhabhadra,True,pǔ shī wú wèi,Semantic,universally bestowing fearlessness; universal gift of fearlessness,sarvābhayadāna,?,?,?,"This is a fundamental concept in Mahayana Buddhism, particularly associated with the Bodhisattva Avalokiteśvara (Guanyin), who grants fearlessness to beings in distress. It describes the compassionate act of alleviating the suffering caused by fear and providing security to all beings.",2,,
慳吝,Buddhabhadra,True,qiān lìn,Semantic,miserliness; stinginess; avarice; parsimony,matsarya,,,,"This term refers to the mental defilement or vice of miserliness and stinginess, often associated with greed (lobha) and considered an obstacle to generosity (dāna) and spiritual progress in Buddhist teachings.",2,,
佛法愛,Buddhabhadra,False,Fófǎ'ài,Generic phrase,Love for the Buddha Dharma; attachment to the Buddha Dharma,,?,?,?,"This term is not a standard, technical Buddhist terminology found in canonical texts or dictionaries. It is a descriptive phrase meaning 'love for the Buddha Dharma' or 'attachment to the Buddha Dharma'. The character '愛' (ài) can carry both positive connotations (affection, devotion, compassion) and negative ones (craving, attachment, tṛṣṇā), which is generally considered a root of suffering in Buddhism. While devotion to the Dharma (śraddhā) is encouraged, an ultimate 'attachment' (tṛṣṇā) even to the Dharma itself could be viewed as an impediment to liberation.",2,,
智慧日,Buddhabhadra,False,zhì huì rì,Generic phrase,Day of wisdom,,,,,"While '智慧' (zhìhuì, wisdom/prajñā) is a fundamental Buddhist term, '智慧日' as a compound is not a recognized classical Buddhist technical term, idiom, or saying. It literally translates to 'Day of Wisdom' and might be used descriptively or in a modern context, but it lacks specific scriptural or commentarial definition as a dedicated term. There is no standard Sanskrit equivalent for this compound phrase.",4,,
功德華,Buddhabhadra,True,gōngdé huá,Semantic,flower of merit and virtue; flower of meritorious deeds,guṇakusuma,,,,"Refers to the splendid qualities or excellent results arising from meritorious deeds, often used metaphorically to describe a beautiful or virtuous accomplishment.",2,,
不壞戒,Buddhabhadra,True,Bùhuài jiè,Semantic,Indestructible precepts; unbreakable precepts; undefiled precepts,akhanda-śīla,,,,"Refers to precepts that are firmly observed without violation, or precepts that are inherently complete and undefiled. It signifies a state of perfected moral discipline that is unshakeable.",2,,
離疑戒,Buddhabhadra,True,Lí yí jiè,Semantic,doubt-dispelling precepts; precepts that dispel doubt,pārājika,?,?,?,"This term refers to the fundamental precepts (specifically the four Pārājika precepts for monastics) whose observance or violation leaves no doubt about one's commitment to the Buddhist path or one's monastic status. Violation of these precepts results in irreversible expulsion from the sangha, thus 'dispelling any doubt' about one's status as a monastic.",2,,
忍香,Buddhabhadra,True,rěn xiāng,Semantic,fragrance of patience,kṣāntigandha,,,,"This term appears in Buddhist scriptures, such as T20N1145A_001 佛說師子月佛本生經, where '忍香' is listed as one of the 'six kinds of fragrance' (六種香), representing kṣānti (patience/forbearance) as one of the six pāramitās.",2,,
現前三昧,Buddhabhadra,True,xiànqián sānmèi,Mixed,"Samādhi of Direct Appearance, Present Samādhi, Samādhi of Manifestation",pratyutpanna-samādhi,,,,"This term refers to a samādhi (concentration) where the truth or a Buddha is perceived as directly present or manifesting. It is a semantic translation of the Sanskrit *pratyutpanna-samādhi*, which is also transliterated into Chinese as 般舟三昧 (Bānzhōu Sānmèi).",3,,
正念思惟,Buddhabhadra,True,zhèng niàn sī wéi,Semantic,right mindfulness and contemplation; mindful reflection,samyak-smṛti-cintā; smṛti-manasikāra,,,,"This term combines 'right mindfulness' (正念, samyak-smṛti) with 'contemplation' or 'reflection' (思惟, cintā/manasikāra). It refers to the practice of applying mindfulness to one's thoughts and reflections, often in the context of Dharma practice. '思惟' can also imply 'mental application' or 'attention' (manasikāra).",6,,
金剛器,Buddhabhadra,True,jīngāng qì,Semantic,Vajra implement; Vajra instrument,vajropakaraṇa,,,,"The term refers to ritual implements used in Vajrayāna Buddhism, such as the vajra scepter (金剛杵) and vajra bell (金剛鈴).",2,,
未來際劫,Buddhabhadra,True,wèilái jì jié,Semantic,future kalpas; kalpas in the future,anāgata-kalpa,?,?,?,"未來 (wèilái) means 'future', 際 (jì) can mean 'time', 'limit', 'extent', or 'occasion', and 劫 (jié) is 'kalpa', a vast period of time. The term collectively refers to kalpas stretching into the boundless future, emphasizing their vast and endless nature.",3,,
奉施,Buddhabhadra,True,fèng shī,Semantic,to offer reverently; to respectfully donate; to present an offering,pūjā,?,?,?,"奉施 refers to the act of making an offering or giving a donation with a sense of reverence and respect, often to the Three Jewels (Buddha, Dharma, Sangha) or for meritorious deeds. While 'pūjā' (पूजा) broadly covers worship and offerings, and 'dāna' (दान) covers giving and donations, '奉施' captures the respectful nature of the offering or donation.",2,,
莊嚴佛剎,Buddhabhadra,True,zhuāngyán fóshà,Mixed,adorned Buddha-land; purifying a Buddha-land,buddhakṣetra-vyūha,?,?,?,"莊嚴 (zhuāngyán) means to adorn or purify, a semantic translation of vyūha or alaṃkāra. 佛 (fó) is a transliteration of buddha. 剎 (chà) is an abbreviation/transliteration of kṣetra. The term refers to the act of beautifying or purifying a Buddha-land, or the resulting adorned Buddha-land.",2,,
正直心,Buddhabhadra,True,zhèngzhí xīn,Semantic,straightforward mind; upright mind; sincere mind; honesty; rectitude,ṛju-citta; ārjava-citta,?,?,?,"Refers to a mind free from deceit, crookedness, or hypocrisy; a state of honesty and uprightness in thought and action, which is a fundamental quality in Buddhist practice.",6,,
修習大慈,Buddhabhadra,True,xiūxí dàcí,Semantic,cultivation of great loving-kindness,mahā-maitrī-bhāvanā,?,?,?,"The term '修習' (xiūxí) means to cultivate, practice, or develop, corresponding to Sanskrit 'bhāvanā'. '大慈' (dàcí) refers to great loving-kindness or universal love, corresponding to Sanskrit 'mahā-maitrī'. This practice is fundamental in Buddhism for developing boundless compassion and altruistic love towards all beings, often paired with '大悲' (dàbēi, mahā-karuṇā) for great compassion.",2,,
菩薩行願,Buddhabhadra,True,Pú sà xíng yuàn,Mixed,Bodhisattva's vows and practices; Bodhisattva's conduct and vows,Bodhisattvacaryāpraṇidhāna,?,?,?,This term refers to the practices and aspirations that a Bodhisattva undertakes to achieve enlightenment and to help all sentient beings achieve liberation. It combines the transliterated term 'Bodhisattva' (菩薩) with the semantically translated 'vows and practices' (行願).,2,,
佛正教,Buddhabhadra,True,fó zhèng jiào,Semantic,Buddha's orthodox teaching; the true teaching of the Buddha,buddha-saddharma; saddharma,?,?,?,"Refers to the correct and orthodox doctrine or teaching of the Buddha, distinguishing it from heterodox or corrupted teachings.",2,,
入一切法,Buddhabhadra,True,rù yīqiè fǎ,Semantic,entering all dharmas; penetrating all phenomena,sarvadharmapraveśa,?,?,?,"This phrase describes the realization or understanding of the true nature of all phenomena or teachings in Buddhism, a key aspect of advanced spiritual practice, signifying deep insight into the nature of reality.",2,,
如來智境界,Buddhabhadra,True,rúlái zhì jìngjiè,Semantic,The realm of a Tathāgata's wisdom; the sphere of the Tathāgata's knowledge; the scope of the Buddha's omniscient wisdom,Tathāgata-jñāna-viṣaya,,,,"This term refers to the inconceivable sphere or realm of activity of a Buddha's omniscient wisdom, which is beyond the comprehension of ordinary beings and even most bodhisattvas. It signifies the ultimate extent and nature of a Tathāgata's enlightened knowledge.",2,,
離垢法,Buddhabhadra,True,lígòufǎ,Semantic,undefiled Dharma,viraja-dharma,,,,"Refers to the Dharma (teachings or phenomena) that is free from defilement (klesha). It signifies purity and freedom from impurities, often associated with the path to liberation or the pure aspect of reality.",2,,
功德海心,Buddhabhadra,True,gōng dé hǎi xīn,Semantic,Mind of an ocean of merit,puṇyasāgaracitta,,,,"This descriptive term refers to a mind that is vast and profound, filled with immeasurable merit, akin to an ocean. It is found in Mahayana Buddhist texts, such as the Avataṃsaka Sūtra, describing the enlightened mind of Buddhas and Bodhisattvas.",2,,
摩訶衍乘,Buddhabhadra,True,Móhēyǎnchèng,Mixed,Mahāyāna; Great Vehicle; Mahāyāna Vehicle,Mahāyāna,/*mˤraj/ /*qʰˤaj/ /*ŋronʔ/ /*dəŋ/,/*ma/ /*qa/ /*jan/ /*dəŋ/,/mɑ/ /xɑ/ /jɨɛn/ /d͡ʑɨŋ/,"The term '摩訶衍乘' is a mixed translation. '摩訶衍' (Móhēyǎn) is a transliteration of the Sanskrit 'Mahāyāna'. '摩訶' (Móhē) transliterates 'Mahā' (great), and '衍' (yǎn) transliterates 'yāna' (vehicle). '乘' (chéng) is a semantic translation of 'yāna' (vehicle). Thus, the full term means 'Mahāyāna Vehicle' or 'Great Vehicle'.",2,,
未來劫,Buddhabhadra,True,wèilái jié,Mixed,future kalpa,anāgata-kalpa,,,,"This term refers to kalpas that are yet to come, a standard concept in Buddhist cosmology concerning the vast cycles of time.",4,,
寶馬,Buddhabhadra,True,bǎo mǎ,Semantic,"precious horse, treasure horse",ratnāśva,,,,"Literally 'precious horse' or 'treasure horse'. In Buddhist texts, it often appears as a descriptive term for magnificent steeds, sometimes associated with the 'Seven Treasures' (七寶) of a Cakravartin king, or as a metaphor for the rapid vehicle of the Dharma, leading practitioners to enlightenment. It signifies something rare, valuable, and swift, often found in descriptions of splendid realms or as an offering.",2,,
明月神珠,Buddhabhadra,False,míngyuè shénzhū,Generic phrase,bright moon divine pearl,,,,,"This phrase is a descriptive or poetic expression, not a recognized technical term within Buddhist scripture or doctrine.",2,,
無量乘,Buddhabhadra,True,Wúliàngshèng,Semantic,Immeasurable Vehicle,Ananta-yāna,?,?,?,"This term refers to the Mahayana (Great Vehicle) doctrine, emphasizing boundless vows and practices undertaken to save innumerable sentient beings. It also signifies the teachings that lead to immeasurable merits and wisdom.",2,,
金縷,Buddhabhadra,False,jīn lǚ,Generic phrase,gold thread,,,,,"A common descriptive phrase for 'gold thread' or 'golden filament', not a specific Buddhist technical term or concept. While golden threads or embroidery may appear in descriptions of Buddhist art or offerings, '金縷' itself does not carry a distinct Buddhist doctrinal meaning.",2,,
降伏怨敵,Buddhabhadra,True,xiángfú yuàndí,Semantic,to subdue enemies; to conquer foes,śatrudamana; aridamana,?,?,?,"This term refers to the act of overcoming or conquering adversaries, which in a Buddhist context can refer to external obstacles or, more commonly, internal defilements (kleśas) such as greed, hatred, and ignorance.",2,,
迴向品,Buddhabhadra,True,huíxiàngpǐn,Semantic,Chapter on the Dedication of Merit,pariṇāmanā-parivarta,,,,"This term refers to a chapter or section in a Buddhist sūtra that expounds on the practice and significance of 'dedication of merit' (迴向, huíxiàng), a core Mahayana practice where one directs accumulated positive karma or virtue towards the benefit of all sentient beings or for the attainment of enlightenment.",2,,
使根,Buddhabhadra,True,shǐ gēn,Semantic,root of defilements; root of afflictions; root of passions,anuśaya,,,,"The term '使根' refers to the underlying causes or latent tendencies (roots) of mental afflictions and defilements. The character '使' (shǐ) in this context is often a translation for anuśaya (latent defilement) or kleśa (affliction), and '根' (gēn) means 'root'. Therefore, the compound emphasizes the 'root' aspect of these defilements or their latent predispositions.",2,,
煩惱地,Buddhabhadra,True,fánnǎodì,Semantic,stage of defilement; realm of afflictions,kleśabhūmi,?,?,?,A stage or realm characterized by the presence and prevalence of kleshas (afflictions or defilements).,2,,
癡曀,Buddhabhadra,False,chī yì,Partial term,ignorant darkness; foolish gloom,,?,?,?,"While '癡' (ignorance) is a fundamental Buddhist concept and one of the three poisons, the compound '癡曀' is not a recognized technical term or common idiom in Buddhist canon. It literally means 'ignorant darkness' or 'foolish gloom' and appears to be a descriptive phrase rather than a specific Buddhist terminology.",3,,
無礙耳,Buddhabhadra,True,wú ài ěr,Semantic,Unhindered ear; unobstructed ear; clairaudience,apratihatā śrotrā,?,?,?,"Describes the ability to hear all sounds, far or near, subtle or gross, without any obstruction. It is an aspect of the divine ear (天耳, divyaśrotra), one of the six supernatural powers (六神通), representing its unhindered function.",2,,
無礙門,Buddhabhadra,True,Wú'ài mén,Semantic,gate of unimpededness; unhindered gate; gate of non-obstruction,anāvāraṇadvāra; apratihatadvāra,,,,"Refers to a path or method of spiritual practice that is free from all obstructions to understanding and liberation. It is often associated with the Mahāyāna concept of non-duality and wisdom (prajñā), where the mind perceives reality without conceptual hindrances.",2,,
語言海,Buddhabhadra,False,yǔyánhǎi,Generic phrase,sea of language; ocean of speech,,,,,"This phrase literally means ""sea of language"" or ""ocean of speech."" It is not a specific, defined technical term in Buddhist terminology but rather a descriptive phrase that might appear in texts.",2,,
深法海,Buddhabhadra,True,shēn fǎ hǎi,Semantic,Ocean of profound Dharma; Deep ocean of Dharma,gambhīradharmasāgara,,,,"A metaphorical expression describing the vastness, depth, and inexhaustible nature of the Buddhist teachings.",2,,
無礙身,Buddhabhadra,True,wú'àishēn,Semantic,unhindered body; unobstructed body; unimpeded body,anāvaraṇakāya,?,?,?,"Refers to a body, often that of a Buddha or advanced Bodhisattva, that is free from all obstructions, hindrances, and limitations, capable of manifesting freely and universally. This concept emphasizes the complete freedom and boundless nature of an enlightened being's form.",6,,
金剛藏心,Buddhabhadra,True,Jīngāngzàngxīn,Semantic,Vajragarbha mind; vajra treasury mind,vajragarbhacitta,,,,"This term refers to a mind or heart that is as pure, firm, and unmoving as a vajra, embodying the inherent Buddha-nature. It signifies a mind that is indestructible and contains all merits and wisdom, similar to a treasury. It is often associated with the Bodhisattva Vajragarbha (金剛藏菩薩).",3,,
十力心,Buddhabhadra,False,shílì xīn,Generic phrase,Mind of the ten powers,N/A,,,,"While '十力' (shílì, daśabala, ten powers of a Buddha) and '心' (xīn, citta/hṛdaya, mind/heart) are both valid and fundamental Buddhist terms, the compound '十力心' itself is not a standard, recognized Buddhist technical term found in major Buddhist dictionaries. It appears to be a descriptive phrase meaning 'the mind/heart that possesses the ten powers' rather than a formalized terminology.",2,,
中悔,Buddhabhadra,False,zhōnghuǐ,Generic phrase,regret midway; change one's mind halfway,,?,?,?,"The term '中悔' (zhōnghuǐ) is a general Chinese phrase meaning 'to regret halfway' or 'to change one's mind midway.' While the concept of regret or remorse (kaukṛtya, pratideśanā) is significant in Buddhist practice, '中悔' itself is not a specific technical Buddhist term found in standard Buddhist lexicons.",2,,
穢身,Buddhabhadra,True,huì shēn,Semantic,impure body; defiled body,aśuddha kāya,,,,"This term refers to the physical body as being inherently impure, subject to decay, and filled with various defilements. It is often used in Buddhist contemplation practices (e.g., 不淨觀, contemplation of impurity) to counteract attachment to the body and cultivate detachment, realizing its impermanence.",2,,
大乘智慧,Buddhabhadra,True,Dàshèng zhìhuì,Semantic,Mahayana wisdom,Mahāyāna-prajñā,?,?,?,"This term refers to the profound wisdom cultivated and realized within the Mahayana tradition. It encompasses understanding the true nature of reality, such as emptiness (śūnyatā) and dependent origination, which enables practitioners to achieve buddhahood for the liberation of all sentient beings.",2,,
金剛幢菩薩,Buddhabhadra,True,Jīngāngchuáng Púsà,Mixed,Vajradhvaja Bodhisattva,Vajradhvaja,?,?,?,"金剛幢菩薩 (Vajradhvaja Bodhisattva) is a significant Bodhisattva, often listed among the Sixteen Bodhisattvas (十六大菩薩) or Eight Great Bodhisattvas (八大菩薩) in various Mahayana traditions. The name combines 'vajra' (金剛) and 'banner' (幢), signifying the powerful banner of the Dharma.",4,,
十迴向品,Buddhabhadra,True,Shí huíxiàng pǐn,Semantic,Chapter of Ten Dedications; Ten Dedications Chapter,Daśa-pariṇāmanā-parivarta,?,?,?,"This term refers to the 22nd chapter of the 80-fascicle Avataṃsaka Sūtra (華嚴經), which details the ten stages of a bodhisattva's dedication of merit for the benefit of all sentient beings. It is a fundamental teaching in Mahayana Buddhism.",2,,
如來樂,Buddhabhadra,True,Rúláilè,Semantic,Tathāgata's bliss; the joy of the Tathāgata,Tathāgata-sukha,?,?,?,"Refers to the profound, unconditioned joy or bliss experienced by a Buddha (Tathāgata), which is free from defilements and suffering. It is often contrasted with ordinary worldly pleasures.",2,,
不由他悟,Buddhabhadra,False,bù yóu tā wù,Generic phrase,One's awakening/realization is not dependent on others.,?,?,?,?,"This phrase emphasizes the principle of self-realization or awakening achieved through one's own efforts and insights, rather than being solely dependent on external guidance or others' teachings. While the concept aligns with Buddhist principles, particularly in traditions like Chan/Zen (where self-discovery is paramount), it is not a formal or canonical Buddhist technical term but rather a descriptive phrase expressing a general spiritual principle.",2,,
大地等心,Buddhabhadra,True,dàdì děngxīn,Semantic,Mind like the great earth; Earth-like mind,pṛthivī-sama-citta,,,,"Refers to the mind of a bodhisattva that is vast, stable, and impartial, treating all beings equally without discrimination, just as the earth bears all things (good or bad, pure or impure) without preference. This is a common metaphor for the boundless and non-discriminating compassion and equanimity (upekṣā) of an enlightened mind, frequently appearing in Mahayana sutras and commentaries like the Da zhidu lun (大智度論).",2,,
佛法器,Buddhabhadra,True,Fó fǎ qì,Semantic,Buddhist ritual implement,pūjā-upakaraṇa,?,?,?,"This term refers to various implements, instruments, or vessels used in Buddhist rituals, ceremonies, and practices. '佛' (Fó) means Buddha or Buddhist, '法' (fǎ) means Dharma or 'the Law', and '器' (qì) means implement, instrument, or vessel. Together, it denotes objects essential for Buddhist worship, meditation, and other religious activities.",2,,
菩薩願行,Buddhabhadra,True,púsà yuànxíng,Mixed,Bodhisattva's vows and practices,bodhisattvaprāṇidhānacaryā,?,?,?,"The term '菩薩' (púsà) is a transliteration of the Sanskrit 'Bodhisattva'. The term '願行' (yuànxíng) is a semantic translation, where '願' means 'vow' or 'aspiration' and '行' means 'practice' or 'conduct'. Therefore, the complete term '菩薩願行' is classified as 'Mixed'.",4,,
淨法界,Buddhabhadra,True,jìngfǎjiè,Semantic,Pure Dharma-realm; Pure Dharmadhātu,śuddhadharmadhātu,,,,"Refers to the unconditioned, ultimate reality or the pure aspect of the universe (dharmadhātu) as perceived by a Buddha, free from all defilements.",4,,
清淨眷屬,Buddhabhadra,True,qīng jìng juàn shǔ,Semantic,Pure retinue; pure family/dependents,śuddha-parivāra,,,,"This term refers to the pure attendants, family, or followers associated with a Buddha, Bodhisattva, or other enlightened beings, emphasizing their moral purity or spiritual advancement.",2,,
諸辯,Buddhabhadra,True,zhū biàn,Semantic,various forms of eloquence; all analytical knowledges,sarva-pratisaṃvidah,,,,"Refers to various types of eloquence or analytical knowledge, often connected to the four unrestricted analytical knowledges (四無礙辯, catasraḥ pratisaṃvidah).",4,,
盡未來劫,Buddhabhadra,True,jìn wèilái jié,Semantic,throughout all future kalpas,anantakalpaṃ,?,?,?,"This term emphasizes the infinite duration of a vow, practice, or the activity of a Buddha or Bodhisattva. It frequently appears in Bodhisattva vows, expressing a commitment to sentient beings and spiritual cultivation that extends for an immeasurable, boundless period of time, essentially until the end of cyclic existence or until all beings are liberated.",4,,
寶象,Buddhabhadra,True,bǎo xiàng,Semantic,Precious elephant,Ratnahastin,,,,"Refers to a precious elephant, often symbolic in Buddhist iconography (e.g., as one of the seven treasures of a Cakravartin king), or as part of a proper name for a Buddha or Bodhisattva (e.g., Bǎoxiàng Rúlái, Precious Elephant Tathāgata).",2,,
