term,term_introduced_by,document_frequency
財富,anonymous,103
善持,Buddhabhadra,104
攝受,Buddhabhadra,104
輻,Buddhabhadra,104
名譽,Buddhayaśas,104
罪過,Dharmakṣema,104
非善,Dharmakṣema,104
有性,Dharmakṣema,104
如來常,Dharmakṣema,104
說實,Dharmakṣema,104
有想無想,Dharmarakṣa,104
三昧定,Dharmarakṣa,104
淨居天,Dharmarakṣa,104
獨一,Dharmarakṣa,104
諸力,Dharmarakṣa,104
大莊嚴,Kumārajīva and Xiao Yaoyuan,104
閻浮利,Lokakṣema,104
忉利天上,Lokakṣema,104
毀戒,Lokakṣema,104
饒益眾生,Mokṣala,104
無所著等正覺,Mokṣala,104
茶,Mokṣala,104
痛想行識,Mokṣala,104
相應法,Sajghabhūti and Zhu Fonian,104
智道,Sajghabhūti and Zhu Fonian,104
優鉢羅,Sajghabhūti and Zhu Fonian,104
害眾生,Saṃghadeva,104
非有想非無想,Saṃghadeva,104
念如來,Saṃghadeva,104
報生,Saṃghadeva,104
作白,Saṅghabhadra,104
行滅,Vighna and Zhi Qian,104
菩薩意,Zhi Qian,104
無量智,Zhu Fonian,104
優曇,Zhu Fonian,104
不起法,Zhu Fonian,104
盡心,anonymous,104
疲厭,Buddhabhadra,105
緣集,Daotai and Buddhavarman,105
入處,Dharmakṣema,105
阿鼻地獄,Dharmanandi and Zhu Fonian,105
受心,Dharmanandi and Zhu Fonian,105
憎惡,Dharmarakṣa,105
地種,Dharmarakṣa,105
善方便,Dharmarakṣa,105
成就者,Dharmarakṣa,105
摩竭國,Dharmarakṣa,105
無雙,Dharmarakṣa,105
起塔,Fa Ju,105
怨賊,Kumārajīva,105
有諍,Kumārajīva and Xiao Yaoyuan,105
有想非無想,Kumārajīva and Xiao Yaoyuan,105
清信士,Lokakṣema,105
滅盡定,Mokṣala,105
宿命智,Sajghabhūti and Zhu Fonian,105
蚊虻,Sajghabhūti and Zhu Fonian,105
酥油,Saṃghadeva,105
有慧,Saṃghadeva,105
盡壽,Saṅghavarman and Baoyun,105
人成,Saṅghavarman and Baoyun,105
六十二見,Zhi Qian,105
戒定慧,Zhi Qian,105
具戒,Zhi Yao,105
有報,Zhu Fonian,105
隱處,anonymous,105
得證,An Shigao,106
斷愛,An Shigao,106
淨眼,An Shigao,106
佛處,Buddhabhadra,106
不可數,Buddhabhadra,106
僧忍聽,Buddhayaśas,106
信士,Buddhayaśas and Zhu Fonian,106
澡浴,Daotai and Buddhavarman,106
慧具,Daotai and Buddhavarman,106
無勝,Dharmakṣema,106
坐者,Dharmakṣema,106
女人身,Dharmanandi and Zhu Fonian,106
車輪,Dharmarakṣa,106
人壽命,Dharmarakṣa,106
心性,Dharmarakṣa,106
天福,Dharmarakṣa,106
修法,Dharmarakṣa,106
諮問,Faxian,106
無邪,Kumārajīva,106
四邊,Kumārajīva,106
知處,Kumārajīva,106
有退,Kumārajīva,106
正勤,Kumārajīva and Xiao Yaoyuan,106
四等心,Lokakṣema,106
摩訶般若波羅蜜,Lokakṣema,106
迦留羅,Lokakṣema,106
無縛,Lokakṣema,106
現在法,Sajghabhūti and Zhu Fonian,106
欲界繫,Sajghabhūti and Zhu Fonian,106
死法,Saṃghadeva,106
化樂,Saṃghadeva,106
劫盡,Saṃghadeva,106
大罪,Saṃghadeva,106
熱惱,Vighna and Zhi Qian,106
眾香,Zhi Qian,106
習善,Zhu Fonian,106
一地,Zhu Fonian,106
著欲,Zhu Fonian,106
不利,An Shigao,107
楯,Buddhabhadra,107
識亦如是,Dharmakṣema,107
作罪,Dharmakṣema,107
號佛,Dharmanandi and Zhu Fonian,107
正直,Dharmarakṣa,107
三相,Dharmarakṣa,107
愚冥,Dharmarakṣa,107
攝持,Dharmarakṣa,107
苦生,"Guṇabhadra, Baoyun, Puti, and Fayong",107
非淨,"Guṇabhadra, Baoyun, Puti, and Fayong",107
善無記,Guṇavarman,107
四道,Kang Mengxiang,107
眾生法,Kumārajīva,107
壞色,Kumārajīva,107
淨佛國,Kumārajīva,107
因緣和合,Kumārajīva and Xiao Yaoyuan,107
聲聞辟支佛地,Kumārajīva and Xiao Yaoyuan,107
正憶,Kumārajīva and Xiao Yaoyuan,107
降伏魔,Lokakṣema,107
世行,Sajghabhūti and Zhu Fonian,107
法持,Sajghabhūti and Zhu Fonian,107
俱生,Sajghabhūti and Zhu Fonian,107
空虛,Saṃghadeva,107
苦受,Saṃghadeva,107
滅苦,Vighna and Zhi Qian,107
大弟子,Zhi Qian,107
倒見,Zhi Yao,107
礙法,Zhu Fonian,107
濟眾生,Zhu Fonian,107
入禪定,Zhu Fonian,107
道地,An Shigao,108
等等,Buddhabhadra,108
慧佛,Buddhabhadra,108
莊嚴身,Buddhabhadra,108
無減,Dharmakṣema,108
信敬,Dharmakṣema,108
乞求,Dharmanandi and Zhu Fonian,108
眾生界,Dharmarakṣa,108
吾身,Dharmarakṣa,108
義趣,Dharmarakṣa,108
種道,Dharmarakṣa,108
二羯磨,Faxian,108
無中,Kumārajīva,108
如來智,Kumārajīva,108
毒藥,Kumārajīva,108
能到,Kumārajīva,108
總相,Kumārajīva,108
六種震動,Kumārajīva and Xiao Yaoyuan,108
大神力,Kumārajīva and Xiao Yaoyuan,108
分衛,Lokakṣema,108
諸願,Mokṣala,108
結跏趺坐,Mokṣala,108
妙智,Sajghabhūti and Zhu Fonian,108
痛想行,Saṃghadeva,108
僧伽婆尸沙,Saṃghadeva,108
愍哀,Zhi Qian,108
獄苦,Zhi Qian,108
無所從生法,Zhi Qian,108
受陰,Zhu Fonian and Buddhapalita,108
等意,An Shigao,109
愁惱,Daotai and Buddhavarman,109
無住處,Dharmakṣema,109
求方便,Dharmanandi and Zhu Fonian,109
污心,Dharmanandi and Zhu Fonian,109
緣合,Dharmarakṣa,109
智明,Dharmarakṣa,109
不顛倒,Dharmarakṣa,109
法非法,Dharmarakṣa,109
南無,Dharmarakṣa,109
真人,Kang Mengxiang,109
道跡,Kang Mengxiang,109
道力,Kang Mengxiang,109
鹽,Kumārajīva,109
無有我,Kumārajīva,109
勤行精進,Kumārajīva,109
難處,Kumārajīva,109
四無礙智,Kumārajīva and Xiao Yaoyuan,109
佛界,Lokakṣema,109
行捨,Saṃghadeva,109
戒成,Zhi Qian,109
無所貪,Zhi Qian,109
邪命,Zhi Qian,109
色空,Zhi Qian,109
如來世尊,Zhu Fonian,109
無報,Zhu Fonian,109
無量福,Zhu Fonian,109
諦法,An Shigao,110
夜摩,Buddhabhadra,110
百種,Daotai and Buddhavarman,110
荼,Dharmakṣema,110
離煩惱,Dharmakṣema,110
法平等,Dharmakṣema,110
戒心,Dharmakṣema,110
施法,Dharmanandi and Zhu Fonian,110
心得解脫,Dharmanandi and Zhu Fonian,110
悲哀,Dharmarakṣa,110
諸通,Dharmarakṣa,110
淨除,Dharmarakṣa,110
柔順,Dharmarakṣa,110
知義,Dharmarakṣa,110
八部,Dharmarakṣa,110
無愧,Dharmarakṣa,110
瘂,Faxian,110
意生,"Guṇabhadra, Baoyun, Puti, and Fayong",110
等受,"Guṇabhadra, Baoyun, Puti, and Fayong",110
調達,Kang Mengxiang,110
求那,Kumārajīva,110
取我,Kumārajīva,110
僧事,Kumārajīva,110
無所知,Kumārajīva,110
佛願,Kumārajīva,110
集比丘僧,Kumārajīva,110
自修,Kumārajīva and Xiao Yaoyuan,110
外空,Mokṣala,110
三惡趣,Mokṣala,110
專念,Sajghabhūti and Zhu Fonian,110
懊惱,Saṃghadeva,110
說斷,Saṃghadeva,110
有教,Saṃghadeva,110
生已盡,Saṃghadeva,110
離諸惡,Saṃghadeva,110
有著,Saṃghadeva,110
三千世界,Zhi Qian,110
成敗,Zhu Fonian,110
根力覺,Zhu Fonian and Buddhapalita,110
取佛,anonymous,110
蠲除,anonymous,110
法清淨,anonymous,110
念惡,anonymous,110
色陰,An Shigao,111
八正道,An Shigao,111
學問,Buddhayaśas,111
所聞法,Dharmakṣema,111
遶佛,Dharmarakṣa,111
紫金,Dharmarakṣa,111
生因緣,Dharmarakṣa,111
真法,Dharmarakṣa,111
無塵,Dharmarakṣa,111
往返,Dharmarakṣa,111
造行,Dharmarakṣa,111
三善,Kang Senghui,111
空無相無作,Kumārajīva,111
有命,Kumārajīva,111
深智,Kumārajīva,111
十二見,Kumārajīva,111
有根,Kumārajīva,111
尊長,Kumārajīva,111
時食,Kumārajīva,111
惟越致,Kumārajīva,111
慢心,Kumārajīva and Xiao Yaoyuan,111
十種力,Lokakṣema,111
阿惟越致,Lokakṣema,111
深經,Lokakṣema,111
六度無極,Lokakṣema,111
雜香,Lokakṣema,111
陀羅尼門,Mokṣala,111
俗法,Mokṣala,111
聖者,Sajghabhūti and Zhu Fonian,111
癡者,Sajghabhūti and Zhu Fonian,111
內身,Saṃghadeva,111
開導,Yan Fotiao and An Xuan,111
菩薩生,Zhi Qian,111
無求,Zhi Qian,111
不雜,Zhi Qian,111
護世,Zhi Yao,111
我慢,Zhu Fonian,111
賢者阿難,anonymous,111
行觀,anonymous,111
四意止,An Shigao,112
惡處,An Shigao,112
天王天,Daotai and Buddhavarman,112
貪利,Dharmakṣema,112
見因,Dharmakṣema,112
相三昧,Dharmakṣema,112
與取,Dharmanandi and Zhu Fonian,112
欲觀,Dharmanandi and Zhu Fonian,112
飢饉,Dharmarakṣa,112
無有人,Dharmarakṣa,112
寶瓔珞,Dharmarakṣa,112
聞持,Dharmarakṣa,112
一毛孔,Dharmarakṣa,112
右遶,Dharmarakṣa,112
度脫一切,Dharmarakṣa,112
眾想,Dharmarakṣa,112
巧便,Dharmarakṣa,112
色受想行識,Dharmarakṣa,112
城邑聚落,Kumārajīva,112
心生歡喜,Kumārajīva,112
黑闇,Kumārajīva,112
如生,Kumārajīva,112
惱心,Kumārajīva,112
示教利喜,Kumārajīva and Xiao Yaoyuan,112
瞋恚心,Lokakṣema,112
意入,Sajghabhūti and Zhu Fonian,112
苦因,Sajghabhūti and Zhu Fonian,112
卵,Sajghabhūti and Zhu Fonian,112
隱沒,Saṃghadeva,112
博聞,Zhi Qian,112
摩訶般若,Zhu Fonian,112
心調,anonymous,112
種類,anonymous,112
止觀,An Shigao,113
邪行,An Shigao,113
苦盡,An Shigao,113
一有,Dharmakṣema,113
有主,Dharmarakṣa,113
心知,Dharmarakṣa,113
覆蓋,Dharmarakṣa,113
律儀,Dharmarakṣa,113
金翅鳥,Dharmarakṣa,113
諸種,Dharmarakṣa,113
佛聖,Dharmarakṣa,113
生清淨,"Guṇabhadra, Baoyun, Puti, and Fayong",113
身苦,Kumārajīva,113
種種色,Kumārajīva,113
無增減,Mokṣala,113
十住,Mokṣala,113
非眾生,Sajghabhūti and Zhu Fonian,113
得阿羅漢果,Sajghabhūti and Zhu Fonian,113
僧坊,Sajghabhūti and Zhu Fonian,113
安隱快樂,Saṃghadeva,113
起想,Saṃghadeva,113
拂,Saṅghavarman,113
善方,Vighna and Zhi Qian,113
無所受,Zhi Qian,113
盡定,Zhi Qian,113
不欺,Zhi Qian,113
瞋怒,Zhi Qian,113
惡獸,Zhu Fonian,113
渴仰,Zhu Fonian,113
法無生,anonymous,113
慧根,An Shigao,114
見地,An Shigao,114
斷法,Buddhabhadra,114
受食,Buddhayaśas,114
墮惡趣,Buddhayaśas and Zhu Fonian,114
青黃赤白,Daotai and Buddhavarman,114
名世,Dharmakṣema,114
無取,Dharmarakṣa,114
志求,Dharmarakṣa,114
財利,Dharmarakṣa,114
喜護,Dharmarakṣa,114
無放逸,Dharmarakṣa,114
大喜,Dharmarakṣa,114
無所染,Dharmarakṣa,114
心意識,Dharmarakṣa,114
覺法,Dharmarakṣa,114
不殺生,Kang Mengxiang,114
明法,Kang Senghui,114
佛道者,Kumārajīva,114
閑處,Kumārajīva,114
業有,Kumārajīva,114
眾華,Kumārajīva,114
作衣,Kumārajīva,114
眾生無量,Kumārajīva,114
佛光明,Lokakṣema,114
寂寞,Lokakṣema,114
法覺,Mokṣala,114
一乘,Mokṣala,114
商人,Sajghabhūti and Zhu Fonian,114
無生智,Sajghabhūti and Zhu Fonian,114
生界,Saṃghadeva,114
六神通,Zhi Qian,114
法淨,Zhi Qian,114
聖行,Zhi Qian,114
無福,Zhu Fonian and Buddhapalita,114
不癡,An Shigao,115
解脫得,Daotai and Buddhavarman,115
瞿曇僧伽提婆,Dharmanandi and Zhu Fonian,115
悉空,Dharmarakṣa,115
願力,Dharmarakṣa,115
不邪,Dharmarakṣa,115
離貪,Dharmarakṣa,115
聚會,Dharmarakṣa,115
二根,Dharmarakṣa,115
諸垢,Dharmarakṣa,115
彼我,Dharmarakṣa,115
識宿命,Dharmarakṣa,115
無瑕穢,Dharmarakṣa,115
偷蘭,Faxian,115
下生,Juqu,115
弘誓,Kang Senghui,115
大威德,Kumārajīva,115
尊重讚歎,Kumārajīva,115
普現,Kumārajīva,115
淨道,Kumārajīva,115
四攝,Kumārajīva,115
思量,Kumārajīva,115
無相無願,Kumārajīva,115
無犯,Kumārajīva,115
金山,Kumārajīva,115
四輩,Lokakṣema,115
無想處,Lokakṣema,115
眾生性,Mokṣala,115
正思惟,Sajghabhūti and Zhu Fonian,115
二邊,Sajghabhūti and Zhu Fonian,115
十八界,Sajghabhūti and Zhu Fonian,115
無熱,Saṃghadeva,115
死有,Saṃghadeva,115
愚癡人,Zhi Qian,115
觀心,Zhi Qian,115
覺佛,Zhi Qian,115
無所起,Zhi Qian,115
持戒者,Zhu Fonian,115
貪欲瞋恚愚癡,Zhu Fonian,115
身觀,Zhu Fonian,115
法如幻,Buddhabhadra,116
輿,Buddhayaśas,116
施衣,Buddhayaśas,116
上心,Dharmakṣema,116
意斷,Dharmarakṣa,116
末香,Dharmarakṣa,116
欲意,Dharmarakṣa,116
法音,Dharmarakṣa,116
說頌,Dharmarakṣa,116
諸趣,Dharmarakṣa,116
僧忍默然故是事如是持,Faxian,116
僧忍默然故,Faxian,116
不恭敬,"Guṇabhadra, Baoyun, Puti, and Fayong",116
華果,"Guṇabhadra, Baoyun, Puti, and Fayong",116
著有,Kumārajīva,116
大音,Kumārajīva,116
戒修,Kumārajīva,116
二處,Kumārajīva,116
方便說,Kumārajīva,116
成就眾生,Kumārajīva and Xiao Yaoyuan,116
聖智,Lokakṣema,116
釋迦文佛,Lokakṣema,116
身法,Mokṣala,116
處欲,Sajghabhūti and Zhu Fonian,116
有犯,Sajghabhūti and Zhu Fonian,116
悔心,Sajghabhūti and Zhu Fonian,116
俱有,Saṃghadeva,116
念思,Saṅghabhadra,116
大梵天,Zhi Qian,116
有數,Zhi Qian,116
體性,Zhu Fonian,116
義諦,Zhu Fonian,116
有垢,Zhu Fonian,116
願求,anonymous,116
自護,anonymous,116
地得,Buddhabhadra,117
得三昧,Dharmakṣema,117
過失,Dharmanandi and Zhu Fonian,117
毘舍離,Dharmanandi and Zhu Fonian,117
六法,Dharmanandi and Zhu Fonian,117
不妄語,Dharmarakṣa,117
濟度,Dharmarakṣa,117
輕重,Faxian,117
從緣,Guṇabharman and Shi Xuanqing,117
損減,Kumārajīva,117
大精進,Kumārajīva,117
惱眾生,Kumārajīva,117
華上,Kumārajīva,117
一切相,Kumārajīva,117
八聖道分,Kumārajīva and Xiao Yaoyuan,117
樹下坐,Lokakṣema,117
學無學,Sajghabhūti and Zhu Fonian,117
無對,Sajghabhūti and Zhu Fonian,117
諸生,Sajghabhūti and Zhu Fonian,117
第一法,Sajghabhūti and Zhu Fonian,117
無煩,Saṃghadeva,117
諸大菩薩,Saṅghabhadra,117
道常,Zhu Fonian,117
好樂,Zhu Fonian,117
入滅,anonymous,117
魔梵,anonymous,117
非處,Buddhabhadra,118
天龍夜叉,Dharmakṣema,118
電光,Dharmakṣema,118
法無我,Dharmakṣema,118
惱亂,Dharmanandi and Zhu Fonian,118
業行,Dharmarakṣa,118
大神通,Dharmarakṣa,118
跏趺坐,Dharmarakṣa,118
二心,Dharmarakṣa,118
母胎,Dharmarakṣa,118
色聲香味觸,Dharmarakṣa,118
光音,Dharmarakṣa,118
十二緣,Dharmarakṣa,118
質直,Dharmarakṣa,118
應度,Fa Ju and Fa Li,118
終身,Faxian,118
本心,Fazhong,118
利喜,Kumārajīva,118
攝法,Kumārajīva,118
大德僧聽,Kumārajīva,118
隨法,Kumārajīva,118
嗅,Kumārajīva,118
現在佛,Kumārajīva,118
一生補處,Lokakṣema,118
內法,Lokakṣema,118
三脫,Lokakṣema,118
貪嫉,Lokakṣema,118
契經,Sajghabhūti and Zhu Fonian,118
眾生安,Saṃghadeva,118
魔眾,Zhi Qian,118
金翅,Zhi Qian,118
諸結使,Zhu Fonian,118
阿蘭,Zhu Fonian,118
拔濟,Zhu Fonian,118
眾相,Zhu Fonian,118
入山,anonymous,118
天有,An Shigao,119
摸,An Shigao,119
悲喜捨,Buddhabhadra,119
軟語,Buddhayaśas and Zhu Fonian,119
大家,Daotai and Buddhavarman,119
師長,Dharmarakṣa,119
佛興,Dharmarakṣa,119
穢惡,Dharmarakṣa,119
三千世,Dharmarakṣa,119
大地獄,Dharmarakṣa,119
法寂,Dharmarakṣa,119
優波離,Dharmarakṣa,119
珠寶,Dharmarakṣa,119
廣分別,"Guṇabhadra, Baoyun, Puti, and Fayong",119
破一,Kumārajīva,119
助道,Kumārajīva,119
諸禪定,Kumārajīva,119
雜寶,Kumārajīva,119
樓閣,Kumārajīva,119
敬佛,Kumārajīva,119
異法,Kumārajīva,119
最妙,Kumārajīva,119
普見,Kumārajīva,119
坐道場,Kumārajīva and Xiao Yaoyuan,119
佛樹,Lokakṣema,119
摩尼珠,Lokakṣema,119
穢濁,Lokakṣema,119
正士,Mokṣala,119
肉眼,Mokṣala,119
痛想,Sajghabhūti and Zhu Fonian,119
修慈,Saṃghadeva,119
法甚深,Saṃghadeva,119
等因,Saṅghavarman,119
義說,Vighna and Zhi Qian,119
無堅,Zhi Qian,119
惡露,Zhi Qian,119
明慧,Zhi Qian,119
見得,Zhu Fonian and Buddhapalita,119
善觀,anonymous,119
法解,anonymous,119
不常,An Shigao,120
無所至,Buddhabhadra,120
大雨,Dharmakṣema,120
無虛,Dharmakṣema,120
諸智,Dharmamitra,120
到彼岸,Dharmanandi and Zhu Fonian,120
施心,Dharmanandi and Zhu Fonian,120
香花,Dharmarakṣa,120
菩薩智,Dharmarakṣa,120
所說經,Dharmarakṣa,120
有明,Dharmarakṣa,120
慧觀,Dharmarakṣa,120
佛滅度,Dharmarakṣa,120
世尊教,Dharmarakṣa,120
虛無,Dharmarakṣa,120
更求,Faxian,120
至法,Guṇabharman and Shi Xuanqing,120
行乞食,Kang Mengxiang,120
愚惑,Kang Mengxiang,120
無果,Kumārajīva,120
聖道分,Kumārajīva,120
名寶,Kumārajīva,120
修禪,Kumārajīva,120
惡魔,Kumārajīva and Xiao Yaoyuan,120
尸羅波羅蜜,Kumārajīva and Xiao Yaoyuan,120
安詳,Mokṣala,120
釋迦牟尼佛,Mokṣala,120
煖,Sajghabhūti and Zhu Fonian,120
增上慢,Sajghabhūti and Zhu Fonian,120
行知,Saṃghadeva,120
他作,Saṃghadeva,120
心無所著,Vighna and Zhi Qian,120
妙行,Zhi Qian,120
空性,Zhu Fonian,120
花香,anonymous,120
四如意,Dharmakṣema,121
惡聲,Dharmakṣema,121
身念,Dharmanandi and Zhu Fonian,121
無吾,Dharmarakṣa,121
淨信,Dharmarakṣa,121
慧光明,Dharmarakṣa,121
福業,Dharmarakṣa,121
願行,Dharmarakṣa,121
退還,Dharmarakṣa,121
人種,Dharmarakṣa,121
明行成為,Kang Mengxiang,121
世樂,Kumārajīva,121
智心,Kumārajīva,121
無難,Kumārajīva and Xiao Yaoyuan,121
界見,Kumārajīva and Xiao Yaoyuan,121
祇洹,Lokakṣema,121
三昧力,Lokakṣema,121
未度,Lokakṣema,121
果證,Mokṣala,121
化佛,Mokṣala,121
聲聞法,Mokṣala,121
畢竟空,Mokṣala,121
五人,Sajghabhūti and Zhu Fonian,121
法求,Saṃghadeva,121
發露,Saṃghadeva,121
道義,Vighna and Zhi Qian,121
德善,Yan Fotiao and An Xuan,121
慧成,Zhi Qian,121
三時,Zhi Yao,121
菩提者,Zhiyan and Baoyun,121
住空,Zhu Fonian,121
六神,anonymous,121
死屍,An Shigao,122
貪婬,An Shigao,122
至處,Dharmakṣema,122
智生,Dharmanandi and Zhu Fonian,122
不真,Dharmarakṣa,122
沙門梵志,Dharmarakṣa,122
惡見,Dharmarakṣa,122
形貌,Dharmarakṣa,122
欲想,Dharmarakṣa,122
法事,Dharmarakṣa,122
悅豫,Dharmarakṣa,122
四聖諦,Dharmarakṣa,122
白如是,Faxian,122
淨意,Kang Mengxiang,122
等分,Kumārajīva,122
尸波羅蜜,Lokakṣema,122
諸佛剎,Lokakṣema,122
有漏法,Mokṣala,122
生空,Mokṣala,122
邊見,Sajghabhūti and Zhu Fonian,122
法歸,Sajghabhūti and Zhu Fonian,122
割截,Saṃghadeva,122
阿那律,Zhi Qian,122
見斷,An Shigao,123
四神足,An Shigao,123
制戒,Buddhayaśas,123
膿血,Buddhayaśas and Zhu Fonian,123
施戒,Dharmakṣema,123
供具,Dharmakṣema,123
得斯陀含,Dharmanandi and Zhu Fonian,123
有覺有觀,Dharmanandi and Zhu Fonian,123
法明,Dharmarakṣa,123
四無色定,Dharmarakṣa,123
寶瓔,Dharmarakṣa,123
三結,Dharmarakṣa,123
教誨,Dharmarakṣa,123
消除,Dharmarakṣa,123
貪樂,Dharmarakṣa,123
兩足,"Guṇabhadra, Baoyun, Puti, and Fayong",123
清信,Kang Senghui,123
受經,Kang Senghui,123
是事如是持,Kumārajīva,123
多羅樹,Kumārajīva,123
對治,Kumārajīva,123
淨見,Kumārajīva and Xiao Yaoyuan,123
幻師,Lokakṣema,123
無生無滅,Mokṣala,123
二道,Mokṣala,123
一意,Sajghabhūti and Zhu Fonian,123
磨滅,Zhu Fonian,123
定力,An Shigao,124
一食,An Shigao,124
取滅,Dharmakṣema,124
惡道中,Dharmakṣema,124
婦人,Dharmakṣema,124
陰界,Dharmarakṣa,124
過惡,Dharmarakṣa,124
禮節,Dharmarakṣa,124
學菩薩,Dharmarakṣa,124
翳,"Guṇabhadra, Baoyun, Puti, and Fayong",124
非無想,"Guṇabhadra, Baoyun, Puti, and Fayong",124
三達,Kang Mengxiang,124
同學,Kumārajīva,124
值佛,Kumārajīva,124
頭目,Kumārajīva,124
愍一切,Kumārajīva,124
諸受,Kumārajīva,124
覺有觀,Kumārajīva,124
習盡,Kumārajīva,124
瞋心,Kumārajīva and Xiao Yaoyuan,124
欲解,Kumārajīva and Xiao Yaoyuan,124
兜術天,Lokakṣema,124
阿闍世,Lokakṣema,124
內空,Mokṣala,124
法和,Sajghabhūti and Zhu Fonian,124
以利,Saṃghadeva,124
得一切智,Zhi Qian,124
不盜,Zhi Qian,124
三衣,Zhu Fonian and Buddhapalita,124
人形,anonymous,124
非世,Daotai and Buddhavarman,125
羅睺,Dharmakṣema,125
寶衣,Dharmakṣema,125
說真,Dharmakṣema,125
供養如來,Dharmarakṣa,125
獨步,Dharmarakṣa,125
堅住,Dharmarakṣa,125
欲法,Dharmarakṣa,125
無漏心,Dharmarakṣa,125
無慧,Dharmarakṣa,125
降魔,Kang Mengxiang,125
結戒,Kang Mengxiang,125
散華,Kang Senghui,125
陰蓋,Kang Senghui,125
不沒,Kumārajīva,125
與欲,Kumārajīva,125
糞掃,Kumārajīva,125
淨人,Kumārajīva,125
所有法,Kumārajīva,125
知世間,Kumārajīva,125
非心,Kumārajīva and Xiao Yaoyuan,125
等與,Lokakṣema,125
摩訶衍,Lokakṣema,125
禪者,Lokakṣema,125
摩訶迦葉,Lokakṣema,125
入息,Sajghabhūti and Zhu Fonian,125
作天,Sajghabhūti and Zhu Fonian,125
上慢,Saṃghadeva,125
惡世,Saṃghadeva,125
無說,Saṃghadeva,125
我師,Saṅghabhadra,125
佛所說法,Vighna and Zhi Qian,125
三明,Vighna and Zhi Qian,125
邪婬,Vighna and Zhi Qian,125
行意,Zhi Qian,125
大水,Zhiyan and Baoyun,125
化身,Zhu Fonian,125
調御丈夫,Zhu Fonian,125
沙門梵,Zhu Fonian,125
放光明,Zhu Fonian,125
法不可得,anonymous,125
無有生,anonymous,125
八解脫,An Shigao,126
痛痒,An Shigao,126
得不退轉,Buddhabhadra,126
跏趺,Buddhabhadra,126
利刀,Buddhayaśas,126
餘有,Dharmakṣema,126
知道,Dharmanandi and Zhu Fonian,126
空界,Dharmarakṣa,126
志性,Dharmarakṣa,126
下劣,Dharmarakṣa,126
一切法空,Dharmarakṣa,126
智慧光,Dharmarakṣa,126
迦蘭陀,Kang Mengxiang,126
親族,Kumārajīva,126
象馬車,Kumārajīva,126
求欲,Kumārajīva,126
大德僧,Kumārajīva,126
受記,Kumārajīva and Xiao Yaoyuan,126
慈哀,Lokakṣema,126
樂想,Mokṣala,126
斷見,Mokṣala,126
等覺,Mokṣala,126
怨憎,Sajghabhūti and Zhu Fonian,126
苦空無我,Sajghabhūti and Zhu Fonian,126
所想,Saṃghadeva,126
因緣法,Yan Fotiao and An Xuan,126
憎愛,Zhi Qian,126
縛著,Zhi Qian,126
有求,Zhu Fonian and Buddhapalita,126
諸鬼,anonymous,126
疑心,Dharmakṣema,127
婆達,Dharmanandi and Zhu Fonian,127
無思,Dharmarakṣa,127
心不動,Dharmarakṣa,127
蠕動,Dharmarakṣa,127
怯弱,Dharmarakṣa,127
授記,Dharmarakṣa,127
病瘦醫藥,Dharmarakṣa,127
諸佛國土,Dharmarakṣa,127
珊瑚,Dharmarakṣa,127
去來今,Dharmarakṣa,127
馬瑙,Fa Ju,127
著袈裟,Kumārajīva,127
涅槃後,Kumārajīva,127
憐愍眾生,Kumārajīva,127
波提,Kumārajīva,127
法種,Kumārajīva,127
無信,Sajghabhūti and Zhu Fonian,127
有結,Sajghabhūti and Zhu Fonian,127
誦習,Saṃghadeva,127
無所行,Zhi Qian,127
諸釋,Zhi Qian,127
泡,Zhi Qian,127
衣時,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",127
旃陀羅,Zhu Fonian,127
希望,Zhu Fonian,127
清淨佛,Buddhabhadra,128
漏是,Daotai and Buddhavarman,128
無量無數,Dharmakṣema,128
孔雀,Dharmakṣema,128
定起,Dharmakṣema,128
有慚,Dharmanandi and Zhu Fonian,128
三業,Dharmarakṣa,128
燈明,Dharmarakṣa,128
宿世,Dharmarakṣa,128
有施,"Guṇabhadra, Baoyun, Puti, and Fayong",128
胞,"Guṇabhadra, Baoyun, Puti, and Fayong",128
長者子,Kang Senghui,128
斷生,Kumārajīva,128
默然故,Kumārajīva,128
內心,Kumārajīva,128
石蜜,Kumārajīva,128
得罪,Kumārajīva,128
頗梨,Kumārajīva and Xiao Yaoyuan,128
迦葉佛,Lokakṣema,128
牢獄,Lokakṣema,128
如響,Mokṣala,128
戒律,Sajghabhūti and Zhu Fonian,128
一切結,Saṃghadeva,128
無穢,Zhi Qian,128
佛聲,Zhi Qian,128
四正,anonymous,128
某甲比丘,Buddhayaśas,129
異時,Buddhayaśas,129
說正法,Buddhayaśas,129
念心,Dharmakṣema,129
非想非非想,Dharmakṣema,129
舍羅,Dharmanandi and Zhu Fonian,129
作是學,Dharmanandi and Zhu Fonian,129
誦讀,Dharmanandi and Zhu Fonian,129
所更,Dharmarakṣa,129
惡不善法,Dharmarakṣa,129
小乘,Dharmarakṣa,129
解法,Dharmarakṣa,129
緣行,Dharmarakṣa,129
集滅,"Guṇabhadra, Baoyun, Puti, and Fayong",129
三塗,Kang Mengxiang,129
堪忍,Kumārajīva,129
通利,Kumārajīva,129
常觀,Kumārajīva,129
無聲,Kumārajīva,129
妙香,Kumārajīva,129
必定,Kumārajīva,129
龍樹,Kumārajīva,129
客比丘,Kumārajīva,129
